2023/08/09 15:31:54 Parsing output variable expressions...
2023/08/09 15:31:54 Loading emissions shapefile: /home/tfmrodge/scratch/GEMMACH_data/data/Inmap_outputs/Emissions/Emissions_shp/BASEGM_2015_E010_area_lcc2.shp.
2023/08/09 15:32:43 Loading emissions shapefile: /home/tfmrodge/scratch/GEMMACH_data/data/Inmap_outputs/Emissions/Emissions_shp/BASEGM_2015_E010_major_lcc2.shp.
2023/08/09 15:33:18 Loading CTM data...
2023/08/09 15:33:18 Reading input data...
2023/08/09 15:39:25 Loading population and mortality rate data...
2023/08/09 15:40:08 Initializing model...
2023/08/09 15:42:10 Emission totals:
2023/08/09 15:42:10 gOrg, 3.1062126478204414e+12 μg/s
2023/08/09 15:42:10 pOrg, 0 μg/s
2023/08/09 15:42:10 PM2_5, 1.5170002236809583e+12 μg/s
2023/08/09 15:42:10 gNH, 1.1940772250227711e+11 μg/s
2023/08/09 15:42:10 pNH, 0 μg/s
2023/08/09 15:42:10 gS, 3.7875012700753413e+12 μg/s
2023/08/09 15:42:10 pS, 0 μg/s
2023/08/09 15:42:10 gNO, 8.932906642561475e+11 μg/s
2023/08/09 15:42:10 pNO, 0 μg/s
2023/08/09 15:44:16 iteration 19985  walltime=0.0689h  Δwalltime=0.0061s  timestep= 0s  day=4.64e-05
2023/08/09 15:44:18 iteration 20248  walltime=0.0695h  Δwalltime=0.0062s  timestep= 0s  day=4.71e-05
2023/08/09 15:44:20 iteration 20475  walltime=0.0701h  Δwalltime=0.011s  timestep= 0s  day=4.76e-05
2023/08/09 15:44:22 iteration 20709  walltime=0.0706h  Δwalltime=0.011s  timestep= 0s  day=4.81e-05
2023/08/09 15:44:24 iteration 20943  walltime=0.0712h  Δwalltime=0.0059s  timestep= 0s  day=4.87e-05
2023/08/09 15:44:26 iteration 21164  walltime=0.0717h  Δwalltime=0.011s  timestep= 0s  day=4.92e-05
2023/08/09 15:44:28 iteration 21416  walltime=0.0723h  Δwalltime=0.012s  timestep= 0s  day=4.98e-05
2023/08/09 15:44:30 iteration 21640  walltime=0.0728h  Δwalltime=0.0061s  timestep= 0s  day=5.03e-05
2023/08/09 15:44:32 iteration 21881  walltime=0.0734h  Δwalltime=0.007s  timestep= 0s  day=5.09e-05
2023/08/09 15:44:34 iteration 22108  walltime=0.0739h  Δwalltime=0.0063s  timestep= 0s  day=5.14e-05
2023/08/09 15:44:36 iteration 22395  walltime=0.0745h  Δwalltime=0.0062s  timestep= 0s  day=5.2e-05
2023/08/09 15:44:38 iteration 22679  walltime=0.0751h  Δwalltime=0.0061s  timestep= 0s  day=5.27e-05
2023/08/09 15:44:40 iteration 23004  walltime=0.0756h  Δwalltime=0.006s  timestep= 0s  day=5.35e-05
2023/08/09 15:44:42 iteration 23331  walltime=0.0762h  Δwalltime=0.006s  timestep= 0s  day=5.42e-05
2023/08/09 15:44:44 iteration 23650  walltime=0.0767h  Δwalltime=0.0061s  timestep= 0s  day=5.5e-05
2023/08/09 15:44:46 iteration 23978  walltime=0.0773h  Δwalltime=0.0062s  timestep= 0s  day=5.57e-05
2023/08/09 15:44:48 iteration 24304  walltime=0.0778h  Δwalltime=0.006s  timestep= 0s  day=5.65e-05
2023/08/09 15:44:50 iteration 24634  walltime=0.0784h  Δwalltime=0.006s  timestep= 0s  day=5.72e-05
2023/08/09 15:44:52 iteration 24960  walltime=0.0789h  Δwalltime=0.0061s  timestep= 0s  day=5.8e-05
2023/08/09 15:44:54 iteration 25289  walltime=0.0795h  Δwalltime=0.0062s  timestep= 0s  day=5.88e-05
2023/08/09 15:44:56 iteration 25617  walltime=0.0801h  Δwalltime=0.0061s  timestep= 0s  day=5.95e-05
2023/08/09 15:44:58 iteration 25938  walltime=0.0806h  Δwalltime=0.006s  timestep= 0s  day=6.03e-05
2023/08/09 15:45:00 iteration 26266  walltime=0.0812h  Δwalltime=0.0061s  timestep= 0s  day=6.1e-05
2023/08/09 15:45:02 iteration 26595  walltime=0.0817h  Δwalltime=0.0062s  timestep= 0s  day=6.18e-05
2023/08/09 15:45:04 iteration 26924  walltime=0.0823h  Δwalltime=0.0062s  timestep= 0s  day=6.26e-05
2023/08/09 15:45:06 iteration 27235  walltime=0.0828h  Δwalltime=0.0061s  timestep= 0s  day=6.33e-05
2023/08/09 15:45:08 iteration 27562  walltime=0.0834h  Δwalltime=0.0061s  timestep= 0s  day=6.41e-05
2023/08/09 15:45:10 iteration 27889  walltime=0.0839h  Δwalltime=0.0098s  timestep= 0s  day=6.48e-05
