2023/07/11 19:42:27 Parsing output variable expressions...
2023/07/11 19:42:27 Loading emissions shapefile: /home/tfmrodge/scratch/GEMMACH_data/data/Inmap_outputs/Emissions/Emissions_shp/NPRI/NPRI_ground_211.shp.
2023/07/11 19:42:27 Loading emissions shapefile: /home/tfmrodge/scratch/GEMMACH_data/data/Inmap_outputs/Emissions/Emissions_shp/NPRI/NPRI_stack_211.shp.
2023/07/11 19:42:28 Loading CTM data...
2023/07/11 19:42:28 Reading input data...
2023/07/11 19:48:24 Loading population and mortality rate data...
2023/07/11 19:49:07 Initializing model...
2023/07/11 21:09:25 Emission totals:
2023/07/11 21:09:25 gOrg, 3.497824882737187e+09 μg/s
2023/07/11 21:09:25 pOrg, 0 μg/s
2023/07/11 21:09:25 PM2_5, 3.215161032153734e+08 μg/s
2023/07/11 21:09:25 gNH, 4.760887394614507e+07 μg/s
2023/07/11 21:09:25 pNH, 0 μg/s
2023/07/11 21:09:25 gS, 2.258513914035739e+09 μg/s
2023/07/11 21:09:25 pS, 0 μg/s
2023/07/11 21:09:25 gNO, 2.324841412183074e+09 μg/s
2023/07/11 21:09:25 pNO, 0 μg/s
2023/07/11 21:13:16 iteration 151   walltime=   1.4h  Δwalltime= 1.5s  timestep= 3s  day=0.00516
2023/07/11 21:13:17 iteration 152   walltime=   1.4h  Δwalltime= 1.5s  timestep= 3s  day=0.00519
2023/07/11 21:13:19 iteration 153   walltime=   1.4h  Δwalltime= 1.5s  timestep= 3s  day=0.00523
2023/07/11 21:13:22 iteration 155   walltime=   1.4h  Δwalltime= 1.6s  timestep= 3s  day=0.0053
2023/07/11 21:13:23 iteration 156   walltime=   1.4h  Δwalltime= 1.5s  timestep= 3s  day=0.00533
2023/07/11 21:13:25 iteration 157   walltime=   1.4h  Δwalltime= 1.3s  timestep= 3s  day=0.00536
2023/07/11 21:13:28 iteration 159   walltime=  1.41h  Δwalltime= 1.5s  timestep= 3s  day=0.00543
2023/07/11 21:13:29 iteration 160   walltime=  1.41h  Δwalltime= 1.7s  timestep= 3s  day=0.00547
2023/07/11 21:13:31 iteration 161   walltime=  1.41h  Δwalltime= 1.5s  timestep= 3s  day=0.0055
2023/07/11 21:13:34 iteration 163   walltime=  1.41h  Δwalltime= 1.4s  timestep= 3s  day=0.00557
2023/07/11 21:13:35 iteration 164   walltime=  1.41h  Δwalltime= 1.4s  timestep= 3s  day=0.0056
2023/07/11 21:13:37 iteration 165   walltime=  1.41h  Δwalltime= 1.9s  timestep= 3s  day=0.00564
2023/07/11 21:13:39 iteration 166   walltime=  1.41h  Δwalltime= 1.5s  timestep= 3s  day=0.00567
2023/07/11 21:13:42 iteration 168   walltime=  1.41h  Δwalltime= 1.4s  timestep= 3s  day=0.00574
2023/07/11 21:13:43 iteration 169   walltime=  1.41h  Δwalltime= 1.4s  timestep= 3s  day=0.00577
2023/07/11 21:13:46 iteration 171   walltime=  1.41h  Δwalltime= 1.4s  timestep= 3s  day=0.00584
2023/07/11 21:13:47 iteration 172   walltime=  1.41h  Δwalltime= 1.4s  timestep= 3s  day=0.00588
2023/07/11 21:13:49 iteration 173   walltime=  1.41h  Δwalltime= 1.4s  timestep= 3s  day=0.00591
2023/07/11 21:13:52 iteration 175   walltime=  1.41h  Δwalltime= 1.5s  timestep= 3s  day=0.00598
2023/07/11 21:13:53 iteration 176   walltime=  1.41h  Δwalltime= 1.4s  timestep= 3s  day=0.00601
2023/07/11 21:13:56 iteration 178   walltime=  1.41h  Δwalltime= 1.4s  timestep= 3s  day=0.00608
2023/07/11 21:13:57 iteration 179   walltime=  1.41h  Δwalltime= 1.3s  timestep= 3s  day=0.00612
2023/07/11 21:13:59 iteration 180   walltime=  1.41h  Δwalltime= 1.4s  timestep= 3s  day=0.00615
2023/07/11 21:14:01 iteration 182   walltime=  1.42h  Δwalltime= 1.4s  timestep= 3s  day=0.00622
2023/07/11 21:14:03 iteration 183   walltime=  1.42h  Δwalltime= 1.5s  timestep= 3s  day=0.00625
2023/07/11 21:14:06 iteration 185   walltime=  1.42h  Δwalltime= 1.6s  timestep= 3s  day=0.00632
2023/07/11 21:14:08 iteration 186   walltime=  1.42h  Δwalltime= 1.4s  timestep= 3s  day=0.00636
2023/07/11 21:14:09 iteration 187   walltime=  1.42h  Δwalltime= 1.4s  timestep= 3s  day=0.00639
2023/07/11 21:14:12 iteration 189   walltime=  1.42h  Δwalltime= 1.3s  timestep= 3s  day=0.00646
2023/07/11 21:14:13 iteration 190   walltime=  1.42h  Δwalltime= 1.4s  timestep= 3s  day=0.00649
2023/07/11 21:14:16 iteration 192   walltime=  1.42h  Δwalltime= 1.3s  timestep= 3s  day=0.00656
2023/07/11 21:14:17 iteration 193   walltime=  1.42h  Δwalltime= 1.3s  timestep= 3s  day=0.00659
2023/07/11 21:14:19 iteration 194   walltime=  1.42h  Δwalltime= 1.5s  timestep= 3s  day=0.00663
2023/07/11 21:14:22 iteration 196   walltime=  1.42h  Δwalltime= 1.9s  timestep= 3s  day=0.0067
2023/07/11 21:14:23 iteration 197   walltime=  1.42h  Δwalltime= 1.4s  timestep= 3s  day=0.00673
2023/07/11 21:14:25 iteration 198   walltime=  1.42h  Δwalltime= 1.3s  timestep= 3s  day=0.00677
2023/07/11 21:14:28 iteration 200   walltime=  1.42h  Δwalltime= 1.5s  timestep= 3s  day=0.00683
2023/07/11 21:14:29 iteration 201   walltime=  1.42h  Δwalltime= 1.5s  timestep= 3s  day=0.00687
2023/07/11 21:14:31 iteration 202   walltime=  1.42h  Δwalltime= 1.5s  timestep= 3s  day=0.0069
2023/07/11 21:14:34 iteration 204   walltime=  1.42h  Δwalltime= 1.5s  timestep= 3s  day=0.00697
2023/07/11 21:14:35 iteration 205   walltime=  1.42h  Δwalltime= 1.6s  timestep= 3s  day=0.007
2023/07/11 21:14:37 iteration 206   walltime=  1.42h  Δwalltime= 1.6s  timestep= 3s  day=0.00704
2023/07/11 21:14:40 iteration 208   walltime=  1.43h  Δwalltime= 1.5s  timestep= 3s  day=0.00711
2023/07/11 21:14:41 iteration 209   walltime=  1.43h  Δwalltime= 1.6s  timestep= 3s  day=0.00714
2023/07/11 21:14:44 iteration 211   walltime=  1.43h  Δwalltime= 1.5s  timestep= 3s  day=0.00721
2023/07/11 21:14:46 iteration 212   walltime=  1.43h  Δwalltime= 1.5s  timestep= 3s  day=0.00724
2023/07/11 21:14:47 iteration 213   walltime=  1.43h  Δwalltime= 1.5s  timestep= 3s  day=0.00728
2023/07/11 21:14:50 iteration 215   walltime=  1.43h  Δwalltime= 1.3s  timestep= 3s  day=0.00735
2023/07/11 21:14:51 iteration 216   walltime=  1.43h  Δwalltime= 1.5s  timestep= 3s  day=0.00738
2023/07/11 21:14:53 iteration 217   walltime=  1.43h  Δwalltime= 1.4s  timestep= 3s  day=0.00741
2023/07/11 21:14:57 iteration 219   walltime=  1.43h  Δwalltime= 2.1s  timestep= 3s  day=0.00748
2023/07/11 21:14:59 iteration 220   walltime=  1.43h  Δwalltime= 2.1s  timestep= 3s  day=0.00752
2023/07/11 21:15:01 iteration 221   walltime=  1.43h  Δwalltime= 2.2s  timestep= 3s  day=0.00755
2023/07/11 21:15:03 iteration 222   walltime=  1.43h  Δwalltime= 2.1s  timestep= 3s  day=0.00759
2023/07/11 21:15:05 iteration 223   walltime=  1.43h  Δwalltime= 2.2s  timestep= 3s  day=0.00762
2023/07/11 21:15:07 iteration 224   walltime=  1.43h  Δwalltime= 1.7s  timestep= 3s  day=0.00765
2023/07/11 21:15:10 iteration 226   walltime=  1.43h  Δwalltime= 1.5s  timestep= 3s  day=0.00772
2023/07/11 21:15:12 iteration 227   walltime=  1.43h  Δwalltime= 1.5s  timestep= 3s  day=0.00776
2023/07/11 21:15:13 iteration 228   walltime=  1.44h  Δwalltime= 1.5s  timestep= 3s  day=0.00779
2023/07/11 21:15:15 iteration 229   walltime=  1.44h  Δwalltime= 1.5s  timestep= 3s  day=0.00782
2023/07/11 21:15:18 iteration 231   walltime=  1.44h  Δwalltime= 1.5s  timestep= 3s  day=0.00789
2023/07/11 21:15:19 iteration 232   walltime=  1.44h  Δwalltime= 1.7s  timestep= 3s  day=0.00793
2023/07/11 21:15:21 iteration 233   walltime=  1.44h  Δwalltime= 1.5s  timestep= 3s  day=0.00796
2023/07/11 21:15:24 iteration 235   walltime=  1.44h  Δwalltime= 1.5s  timestep= 3s  day=0.00803
2023/07/11 21:15:25 iteration 236   walltime=  1.44h  Δwalltime= 1.3s  timestep= 3s  day=0.00806
2023/07/11 21:15:27 iteration 237   walltime=  1.44h  Δwalltime= 1.4s  timestep= 3s  day=0.0081
2023/07/11 21:15:30 iteration 239   walltime=  1.44h  Δwalltime= 1.4s  timestep= 3s  day=0.00817
2023/07/11 21:15:31 iteration 240   walltime=  1.44h  Δwalltime= 1.5s  timestep= 3s  day=0.0082
2023/07/11 21:15:34 iteration 242   walltime=  1.44h  Δwalltime= 1.4s  timestep= 3s  day=0.00827
2023/07/11 21:15:35 iteration 243   walltime=  1.44h  Δwalltime= 1.4s  timestep= 3s  day=0.0083
2023/07/11 21:15:37 iteration 244   walltime=  1.44h  Δwalltime= 1.6s  timestep= 3s  day=0.00834
